disease_name,question,answer,source_url
Autism,Are childhood vaccines responsible for autism?,"Available epidemiological data show that there is no evidence of a link between measles-mumps-rubella (MMR) vaccine and autism. Previous studies suggesting a causal link were found to be seriously flawed. There is also no evidence to suggest that any other childhood vaccine may increase the risk of autism. In addition, evidence reviews commissioned by WHO concluded that there was no association between the use of vaccine preservatives such as thiomersal and autism.
Available epidemiological data show that there is no evidence of a link between measles-mumps-rubella (MMR) vaccine and autism. Previous studies suggesting a causal link were found to be seriously flawed.
There is also no evidence to suggest that any other childhood vaccine may increase the risk of autism. In addition, evidence reviews commissioned by WHO concluded that there was no association between the use of vaccine preservatives such as thiomersal and autism.",https://www.who.int/news-room/questions-and-answers/item/autism-spectrum-disorders-(asd)
Burns,What were the main radionuclides to which people were exposed?,"The main radionuclides to which individuals were exposed were iodine-131, caesium-134 and caesium137. Iodine-131 has a short radioactive half-life (eight days) and can be transferred to humans rapidly
through the air and by consumption of contaminated milk and leafy vegetables. Iodine becomes
localized in the thyroid gland. Because many infants and children consume relatively large quantities of
milk and dairy products, and because of the size of their thyroid glands and the nature of their
metabolism, exposure to radioactive iodine is usually higher for children than for adults. Caesium isotopes have longer half-lives (caesium-134 and caesium-137 have half-lives of 2 years and
30 years, respectively). There are thus longer-term exposures to these radionuclides through the
ingestion pathway and through external exposure from their deposition on the ground.
The main radionuclides to which individuals were exposed were iodine-131, caesium-134 and caesium137.
Iodine-131 has a short radioactive half-life (eight days) and can be transferred to humans rapidly
through the air and by consumption of contaminated milk and leafy vegetables. Iodine becomes
localized in the thyroid gland. Because many infants and children consume relatively large quantities of
milk and dairy products, and because of the size of their thyroid glands and the nature of their
metabolism, exposure to radioactive iodine is usually higher for children than for adults.
Caesium isotopes have longer half-lives (caesium-134 and caesium-137 have half-lives of 2 years and
30 years, respectively). There are thus longer-term exposures to these radionuclides through the
ingestion pathway and through external exposure from their deposition on the ground.",https://www.who.int/news-room/questions-and-answers/item/radiation-the-chernobyl-accident
Burns,What were the impacts on health from Chernobyl?,"In 2006, WHO published its report summarizing the data from two decades of research on the health
consequences of the Chernobyl accident. It included reviews of studies carried out on cancers, noncancer diseases, immune and genetic effects, and reproductive and children’s health, as well as
evidence-based recommendations for national health authorities and for further research. In 2011, the United Nations Scientific Committee on the Effects of Atomic Radiation (UNSCEAR)
published a report entitled ""Health effects due to radiation from the Chernobyl accident."" The findings
were based on more than two decades of experimental and analytical studies of the health
consequences of radiation exposure from the Chernobyl accident. The report is the most comprehensive
evaluation to date of exposure levels and health effects from the Chernobyl accident. Radiation sickness According to the UNSCEAR report, the Chernobyl accident caused a number of severe radiation
effects almost immediately. Of 600 workers present on the site during the early morning of 26 April
1986, 134 received very high doses (0.8-16 Grey) and suffered from acute radiation sickness. Of those,
28 workers died in the first three months. Radiation-induced cataracts Among those who survived radiation sickness, recovery took several years. Many of them developed
radiation-induced cataracts in the first few years after the accident. Recent studies of the recovery
operation workers indicate that opacities of the eye lens might result from radiation doses lower than
previously expected (about 500 mSv). Cancers For the last two decades, attention has been focused on investigating the association between exposure
to radionuclides released in the Chernobyl accident and late effects, in particular thyroid cancer. In the
first few months after the accident, radiation dose exposures to the thyroid received were particularly
high in children and adolescents living in Belarus, Ukraine and the most affected regions of the Russian
Federation, and in those who drank milk with high levels of radioactive iodine. By 2005, more than
6,000 thyroid cancer cases had been diagnosed in this group. It is most likely that a large fraction of
these thyroid cancers are attributable to radioiodine intake. Furthermore, it is expected that increases in
thyroid cancer incidence due to the Chernobyl accident will continue for many more years, although
long-term increases are difficult to quantify. Apart from the dramatic increase in thyroid cancer incidence among those exposed at a young age,
there is some indication of increased leukaemia and cataract incidence among workers. Otherwise,
there is no clearly demonstrated increase in the incidence of solid cancers or leukaemia due to radiation
in the exposed populations. There also is no convincing proof so far of increases in other nonmalignant disorders that are related to ionizing radiation. Among 530,000 registered recovery operation workers who worked between 1986 and 1990, the
average dose was 120 mSv (ranging from 20 to 500 mSv). That cohort is still potentially at risk of
cancer and other diseases and their health continues to be closely followed. Among Russian recovery operation workers with higher average doses (above 200 mSv), evidence is
emerging of some increase in the incidence of leukaemia. Based on other studies, the annual incidence
of radiation-induced leukaemia would be expected to fall within a few decades after exposure. There is a tendency to attribute increases in rates of all cancers over time to the Chernobyl accident, but
it should be noted that increases in cancer in the affected areas were also observed before the accident.
Moreover, a general increase in mortality has been reported in recent decades in most areas of the
former Soviet Union, and this must be taken into account when interpreting the results of the accident-related studies. Persistent psychological or mental health problems Several international studies have reported that exposed populations, compared to controls, had anxiety
symptom levels that were twice as high and were more likely to report multiple unexplained physical
symptoms and subjective poor health. Given that rates of mental health problems increase after a
disaster and may manifest years after the event, WHO recommends improving availability and access
to normal community mental health services in disaster-affected areas. One of the objectives of the on-going UN inter-agency International Chernobyl Research and
Information Network (ICRIN) project is to alleviate the stigma of psychological trauma in
society, encourage self-reliance, and empower local communities to take control over their own lives.
One of the ways to achieve these goals is to promote healthy lifestyles, including physical activity and
healthy diet, and to explain the environmental, behavioural, and other risks for various chronic diseases,
including cancer. Concerns related to fertility and birth defects In the Chernobyl-affected regions, there is no evidence of decreased fertility among males or females in
the general population. However, birth rates may be lower in contaminated areas because of a high rate
of medical abortions. Since 1986, there has been a reported increase in congenital malformations in both contaminated and
uncontaminated areas of Belarus which predated Chernobyl and may be the result of increased
registration of such cases. Based on dose levels to which the majority of the population was exposed,
there is unlikely to be a major effect on the number of stillbirths, adverse pregnancy outcomes, delivery
complications, or the overall health of children, but monitoring remains important. Potential impact on health in other European countries So far, there has been no clear evidence of any measurable increases in adverse health effects related to
the Chernobyl radiation in countries outside of Belarus, the Russian Federation and Ukraine.
In 2006, WHO published its report summarizing the data from two decades of research on the health
consequences of the Chernobyl accident. It included reviews of studies carried out on cancers, noncancer diseases, immune and genetic effects, and reproductive and children’s health, as well as
evidence-based recommendations for national health authorities and for further research.
In 2011, the United Nations Scientific Committee on the Effects of Atomic Radiation (UNSCEAR)
published a report entitled ""Health effects due to radiation from the Chernobyl accident."" The findings
were based on more than two decades of experimental and analytical studies of the health
consequences of radiation exposure from the Chernobyl accident. The report is the most comprehensive
evaluation to date of exposure levels and health effects from the Chernobyl accident.
According to the UNSCEAR report, the Chernobyl accident caused a number of severe radiation
effects almost immediately. Of 600 workers present on the site during the early morning of 26 April
1986, 134 received very high doses (0.8-16 Grey) and suffered from acute radiation sickness. Of those,
28 workers died in the first three months.
Among those who survived radiation sickness, recovery took several years. Many of them developed
radiation-induced cataracts in the first few years after the accident. Recent studies of the recovery
operation workers indicate that opacities of the eye lens might result from radiation doses lower than
previously expected (about 500 mSv).
For the last two decades, attention has been focused on investigating the association between exposure
to radionuclides released in the Chernobyl accident and late effects, in particular thyroid cancer. In the
first few months after the accident, radiation dose exposures to the thyroid received were particularly
high in children and adolescents living in Belarus, Ukraine and the most affected regions of the Russian
Federation, and in those who drank milk with high levels of radioactive iodine. By 2005, more than
6,000 thyroid cancer cases had been diagnosed in this group. It is most likely that a large fraction of
these thyroid cancers are attributable to radioiodine intake. Furthermore, it is expected that increases in
thyroid cancer incidence due to the Chernobyl accident will continue for many more years, although
long-term increases are difficult to quantify.
Apart from the dramatic increase in thyroid cancer incidence among those exposed at a young age,
there is some indication of increased leukaemia and cataract incidence among workers. Otherwise,
there is no clearly demonstrated increase in the incidence of solid cancers or leukaemia due to radiation
in the exposed populations. There also is no convincing proof so far of increases in other nonmalignant disorders that are related to ionizing radiation.
Among 530,000 registered recovery operation workers who worked between 1986 and 1990, the
average dose was 120 mSv (ranging from 20 to 500 mSv). That cohort is still potentially at risk of
cancer and other diseases and their health continues to be closely followed.
Among Russian recovery operation workers with higher average doses (above 200 mSv), evidence is
emerging of some increase in the incidence of leukaemia. Based on other studies, the annual incidence
of radiation-induced leukaemia would be expected to fall within a few decades after exposure.
There is a tendency to attribute increases in rates of all cancers over time to the Chernobyl accident, but
it should be noted that increases in cancer in the affected areas were also observed before the accident.
Moreover, a general increase in mortality has been reported in recent decades in most areas of the
former Soviet Union, and this must be taken into account when interpreting the results of the accident-related studies.
Several international studies have reported that exposed populations, compared to controls, had anxiety
symptom levels that were twice as high and were more likely to report multiple unexplained physical
symptoms and subjective poor health. Given that rates of mental health problems increase after a
disaster and may manifest years after the event, WHO recommends improving availability and access
to normal community mental health services in disaster-affected areas.
One of the objectives of the on-going UN inter-agency International Chernobyl Research and
Information Network (ICRIN) project is to alleviate the stigma of psychological trauma in
society, encourage self-reliance, and empower local communities to take control over their own lives.
One of the ways to achieve these goals is to promote healthy lifestyles, including physical activity and
healthy diet, and to explain the environmental, behavioural, and other risks for various chronic diseases,
including cancer.
In the Chernobyl-affected regions, there is no evidence of decreased fertility among males or females in
the general population. However, birth rates may be lower in contaminated areas because of a high rate
of medical abortions.
Since 1986, there has been a reported increase in congenital malformations in both contaminated and
uncontaminated areas of Belarus which predated Chernobyl and may be the result of increased
registration of such cases. Based on dose levels to which the majority of the population was exposed,
there is unlikely to be a major effect on the number of stillbirths, adverse pregnancy outcomes, delivery
complications, or the overall health of children, but monitoring remains important.
So far, there has been no clear evidence of any measurable increases in adverse health effects related to
the Chernobyl radiation in countries outside of Belarus, the Russian Federation and Ukraine.",https://www.who.int/news-room/questions-and-answers/item/radiation-the-chernobyl-accident
Burns,What is the current health risk to people residing in contaminated areas?,"Currently, concentrations of radioactive caesium (Cs-137) in agricultural food products produced in
areas affected by the Chernobyl fallout are generally below national and international standards for
actions. In some limited areas with high radionuclide contamination (e.g. in parts of the Gomel and
Mogilev regions in Belarus and the Bryansk region in the Russian Federation) or areas with organic
poor soils (the Zhytomir and Rovno regions in Ukraine), milk may still be produced with activity
concentrations of Cs-137 that exceed national standards for action (100 Becquerel per kilogram). In
these areas, countermeasures and environmental remediation may still be warranted.
Currently, concentrations of radioactive caesium (Cs-137) in agricultural food products produced in
areas affected by the Chernobyl fallout are generally below national and international standards for
actions. In some limited areas with high radionuclide contamination (e.g. in parts of the Gomel and
Mogilev regions in Belarus and the Bryansk region in the Russian Federation) or areas with organic
poor soils (the Zhytomir and Rovno regions in Ukraine), milk may still be produced with activity
concentrations of Cs-137 that exceed national standards for action (100 Becquerel per kilogram). In
these areas, countermeasures and environmental remediation may still be warranted.",https://www.who.int/news-room/questions-and-answers/item/radiation-the-chernobyl-accident
Cholera,How does cholera spread?,"You can catch cholera by: drinking contaminated water; eating contaminated food (e.g., food that is raw, poorly cooked, or that becomes contaminated with poo (faeces) during preparation or storage); contact with the poo (faeces), vomit or things that have been contaminated with the poo or vomit of someone who has cholera; and unprotected contact with the body of someone who has died from cholera.
You can catch cholera by:",https://www.who.int/news-room/questions-and-answers/item/cholera-outbreaks
Cholera,What is the treatment for patients with cholera?,"Cholera treatment is simple: using oral rehydration solution. This can be bought/obtained from health workers or even made at home by mixing 1 litre safe water, 6 teaspoons sugar and half a teaspoon of salt. If someone has cholera, they should be given oral rehydration solution and then taken to a health facility, cholera treatment centre or oral rehydration point. People with more severe symptoms may need additional treatment, including intravenous rehydration and antibiotics. Most people recover from cholera fast with the right care. Most people are discharged from healthcare facilities within 3 days.
Cholera treatment is simple: using oral rehydration solution. This can be bought/obtained from health workers or even made at home by mixing 1 litre safe water, 6 teaspoons sugar and half a teaspoon of salt. If someone has cholera, they should be given oral rehydration solution and then taken to a health facility, cholera treatment centre or oral rehydration point. People with more severe symptoms may need additional treatment, including intravenous rehydration and antibiotics. Most people recover from cholera fast with the right care. Most people are discharged from healthcare facilities within 3 days.
Cholera treatment is simple: using oral rehydration solution. This can be bought/obtained from health workers or even made at home by mixing 1 litre safe water, 6 teaspoons sugar and half a teaspoon of salt.
If someone has cholera, they should be given oral rehydration solution and then taken to a health facility, cholera treatment centre or oral rehydration point.
People with more severe symptoms may need additional treatment, including intravenous rehydration and antibiotics.",https://www.who.int/news-room/questions-and-answers/item/cholera-outbreaks
Cholera,Where is there a risk of cholera?,"Cholera is a threat wherever safe water supplies, sanitation, food safety and hygiene are inadequate. Water, sanitation and hygiene facilities are often inadequate in overpopulated settings where there is overcrowding (like refugee/IDP camps or prisons). Working hand-in-hand with communities to identify risks and improve water and sanitation systems can have significant benefits. People living in high-risk areas can reduce their risk by practicing good hygiene and safe food preparation.
Cholera is a threat wherever safe water supplies, sanitation, food safety and hygiene are inadequate. Water, sanitation and hygiene facilities are often inadequate in overpopulated settings where there is overcrowding (like refugee/IDP camps or prisons).
Working hand-in-hand with communities to identify risks and improve water and sanitation systems can have significant benefits.
People living in high-risk areas can reduce their risk by practicing good hygiene and safe food preparation.",https://www.who.int/news-room/questions-and-answers/item/cholera-outbreaks
Cholera,How can communities reduce their risk of cholera?,Cholera outbreaks can be prevented by making sure that communities have access to safe water and good sanitation. Open defecation (not using toilets/latrines) is a major driver of cholera outbreaks. Providing communities with access to toilets/latrines can provide significant health benefits. Latrines should be at a safe distance (20–30 metres) from drinking water sources. People can reduce their risk by avoiding defecating in or near water. Dirty diapers should be placed in plastic bags before they are thrown away.,https://www.who.int/news-room/questions-and-answers/item/cholera-outbreaks
Cholera,There is an outbreak of cholera where I live. How can I reduce my risk?,"You can reduce the risk for you and your loved ones by: drinking safe water (well-monitored piped water, disinfected with household water treatment chemicals, boiled, or bottled); using safe water for washing and preparing food and for cooking; cleaning your hands regularly using soap and safe water (or an alcohol-based hand rub if there is no visible dirt), especially before eating, cooking, after using the toilet/latrine or changing your child’s diaper; cooking food thoroughly, keeping it covered, and eating immediately after cooking it; and not going to the toilet or washing yourself, hands or clothes near where you get your drinking water.
You can reduce the risk for you and your loved ones by: drinking safe water (well-monitored piped water, disinfected with household water treatment chemicals, boiled, or bottled); using safe water for washing and preparing food and for cooking; cleaning your hands regularly using soap and safe water (or an alcohol-based hand rub if there is no visible dirt), especially before eating, cooking, after using the toilet/latrine or changing your child’s diaper; cooking food thoroughly, keeping it covered, and eating immediately after cooking it; and not going to the toilet or washing yourself, hands or clothes near where you get your drinking water.
You can reduce the risk for you and your loved ones by:",https://www.who.int/news-room/questions-and-answers/item/cholera-outbreaks
Cholera,How can I make sure that the water I have at home is safe to drink?,"There are several things you can do to make sure that your water is safe to drink at home. If it's well-monitored, water piped into your home is usually safe to drink. If your water looks dirty or cloudy, physically remove pathogens by filtering your water using a water filter, clean cloth, paper towel or coffee filter. After filtering, you should still boil or disinfect your water. You can boil your water for at least one minute before drinking. After boiling, store drinking water safely in a clean, tightly sealed container to avoid recontamination. You can also disinfect your water to make it safe to drink. After filtering, use household water treatment chemicals following the manufacturer’s instructions. If household water chemicals are not available, add 3 to 5 drops of chlorine (such as 5–9% unscented household bleach) to one litre of water. Wait at least 30 minutes before using. You can also drink bottled water.
There are several things you can do to make sure that your water is safe to drink at home. If it's well-monitored, water piped into your home is usually safe to drink.
If your water looks dirty or cloudy, physically remove pathogens by filtering your water using a water filter, clean cloth, paper towel or coffee filter. After filtering, you should still boil or disinfect your water.
You can boil your water for at least one minute before drinking. After boiling, store drinking water safely in a clean, tightly sealed container to avoid recontamination.
You can also disinfect your water to make it safe to drink. After filtering, use household water treatment chemicals following the manufacturer’s instructions. If household water chemicals are not available, add 3 to 5 drops of chlorine (such as 5–9% unscented household bleach) to one litre of water. Wait at least 30 minutes before using.
You can also drink bottled water.",https://www.who.int/news-room/questions-and-answers/item/cholera-outbreaks
Cholera,Is there a cholera vaccine?,"There is a vaccine available against cholera. It is called the oral cholera vaccine, or OCV. Being vaccinated with OCV reduces your chances of getting infected with cholera. Vaccination is a critical tool to stopping cholera, but access to safe water and sanitation is the most important thing to protect communities. OCV is safe and effective. Rare side effects include nausea, vomiting and mild gastrointestinal discomfort. The oral cholera vaccine can be given to children over one year and adults. It is safe for you to receive the oral cholera vaccine if you are pregnant. The cholera vaccine is an oral vaccine, meaning it needs to be swallowed. In a 2-dose schedule, the doses should be taken at least 2 weeks apart (and not more than 6 months apart). This provides you with protection for at least 3 years.
There is a vaccine available against cholera. It is called the oral cholera vaccine, or OCV. Being vaccinated with OCV reduces your chances of getting infected with cholera. Vaccination is a critical tool to stopping cholera, but access to safe water and sanitation is the most important thing to protect communities.
OCV is safe and effective. Rare side effects include nausea, vomiting and mild gastrointestinal discomfort.
The oral cholera vaccine can be given to children over one year and adults. It is safe for you to receive the oral cholera vaccine if you are pregnant.
The cholera vaccine is an oral vaccine, meaning it needs to be swallowed. In a 2-dose schedule, the doses should be taken at least 2 weeks apart (and not more than 6 months apart). This provides you with protection for at least 3 years.",https://www.who.int/news-room/questions-and-answers/item/cholera-outbreaks
